city,year,weekofyear,total_cases
sj,2011,6,17
sj,2011,7,16
sj,2011,8,15
sj,2011,9,14
sj,2011,10,16
sj,2011,11,7
sj,2011,12,8
sj,2011,13,14
sj,2011,14,10
sj,2011,15,10
sj,2011,16,8
sj,2011,17,11
sj,2011,18,11
sj,2011,19,7
sj,2011,20,2
sj,2011,21,11
sj,2011,22,9
sj,2011,23,16
sj,2011,24,10
sj,2011,25,10
sj,2011,26,10
sj,2011,27,10
sj,2011,28,8
sj,2011,29,7
sj,2011,30,15
sj,2011,31,15
sj,2011,32,12
sj,2011,33,14
sj,2011,34,11
sj,2011,35,9
sj,2011,36,22
sj,2011,37,27
sj,2011,38,21
sj,2011,39,21
sj,2011,40,20
sj,2011,41,23
sj,2011,42,22
sj,2011,43,28
sj,2011,44,26
sj,2011,45,16
sj,2011,46,37
sj,2011,47,29
sj,2011,48,30
sj,2011,49,13
sj,2011,50,20
sj,2011,51,20
sj,2012,52,11
sj,2012,1,11
sj,2012,2,17
sj,2012,3,13
sj,2012,4,15
sj,2012,5,13
sj,2012,6,13
sj,2012,7,14
sj,2012,8,10
sj,2012,9,9
sj,2012,10,7
sj,2012,11,4
sj,2012,12,8
sj,2012,13,5
sj,2012,14,4
sj,2012,15,4
sj,2012,16,2
sj,2012,17,3
sj,2012,18,2
sj,2012,19,5
sj,2012,20,7
sj,2012,21,5
sj,2012,22,2
sj,2012,23,5
sj,2012,24,12
sj,2012,25,13
sj,2012,26,13
sj,2012,27,10
sj,2012,28,4
sj,2012,29,15
sj,2012,30,11
sj,2012,31,10
sj,2012,32,6
sj,2012,33,10
sj,2012,34,20
sj,2012,35,3
sj,2012,36,16
sj,2012,37,29
sj,2012,38,24
sj,2012,39,24
sj,2012,40,20
sj,2012,41,27
sj,2012,42,17
sj,2012,43,26
sj,2012,44,32
sj,2012,45,35
sj,2012,46,38
sj,2012,47,28
sj,2012,48,31
sj,2012,49,26
sj,2012,50,26
sj,2012,51,21
sj,2013,1,9
sj,2013,2,8
sj,2013,3,9
sj,2013,4,7
sj,2013,5,7
sj,2013,6,8
sj,2013,7,3
sj,2013,8,5
sj,2013,9,4
sj,2013,10,7
sj,2013,11,2
sj,2013,12,5
sj,2013,13,2
sj,2013,14,2
sj,2013,15,2
sj,2013,16,2
sj,2013,17,4
iq,2010,26,0
iq,2010,27,0
iq,2010,28,0
iq,2010,29,0
iq,2010,30,0
iq,2010,31,1
iq,2010,32,0
iq,2010,33,1
iq,2010,34,1
iq,2010,35,1
iq,2010,36,0
iq,2010,37,1
iq,2010,38,1
iq,2010,39,1
iq,2010,40,1
iq,2010,41,1
iq,2010,42,1
iq,2010,43,1
iq,2010,44,1
iq,2010,45,1
iq,2010,46,0
iq,2010,47,0
iq,2010,48,1
iq,2010,49,0
iq,2010,50,1
iq,2010,51,1
iq,2011,52,0
iq,2011,1,0
iq,2011,2,0
iq,2011,3,0
iq,2011,4,0
iq,2011,5,0
iq,2011,6,0
iq,2011,7,0
iq,2011,8,0
iq,2011,9,0
iq,2011,10,0
iq,2011,11,0
iq,2011,12,0
iq,2011,13,0
iq,2011,14,0
iq,2011,15,0
iq,2011,16,0
iq,2011,17,0
iq,2011,18,0
iq,2011,19,0
iq,2011,20,0
iq,2011,21,0
iq,2011,22,0
iq,2011,23,0
iq,2011,24,0
iq,2011,25,0
iq,2011,26,0
iq,2011,27,0
iq,2011,28,0
iq,2011,29,0
iq,2011,30,0
iq,2011,31,0
iq,2011,32,0
iq,2011,33,0
iq,2011,34,1
iq,2011,35,0
iq,2011,36,0
iq,2011,37,0
iq,2011,38,0
iq,2011,39,0
iq,2011,40,0
iq,2011,41,0
iq,2011,42,1
iq,2011,43,0
iq,2011,44,1
iq,2011,45,1
iq,2011,46,0
iq,2011,47,1
iq,2011,48,1
iq,2011,49,1
iq,2011,50,0
iq,2011,51,0
iq,2012,52,0
iq,2012,1,0
iq,2012,2,0
iq,2012,3,0
iq,2012,4,0
iq,2012,5,0
iq,2012,6,0
iq,2012,7,0
iq,2012,8,0
iq,2012,9,0
iq,2012,10,0
iq,2012,11,0
iq,2012,12,0
iq,2012,13,0
iq,2012,14,0
iq,2012,15,0
iq,2012,16,0
iq,2012,17,0
iq,2012,18,0
iq,2012,19,0
iq,2012,20,0
iq,2012,21,0
iq,2012,22,0
iq,2012,23,0
iq,2012,24,0
iq,2012,25,0
iq,2012,26,0
iq,2012,27,0
iq,2012,28,0
iq,2012,29,0
iq,2012,30,0
iq,2012,31,0
iq,2012,32,0
iq,2012,33,0
iq,2012,34,0
iq,2012,35,1
iq,2012,36,0
iq,2012,37,0
iq,2012,38,1
iq,2012,39,1
iq,2012,40,0
iq,2012,41,1
iq,2012,42,1
iq,2012,43,0
iq,2012,44,1
iq,2012,45,1
iq,2012,46,1
iq,2012,47,0
iq,2012,48,1
iq,2012,49,1
iq,2012,50,1
iq,2012,51,0
iq,2013,1,0
iq,2013,2,0
iq,2013,3,0
iq,2013,4,0
iq,2013,5,0
iq,2013,6,0
iq,2013,7,0
iq,2013,8,0
iq,2013,9,0
iq,2013,10,0
iq,2013,11,0
iq,2013,12,0
iq,2013,13,1
iq,2013,14,0
iq,2013,15,1
iq,2013,16,1
iq,2013,17,0
iq,2013,18,0
iq,2013,19,0
iq,2013,20,0
iq,2013,21,0
iq,2013,22,0
iq,2013,23,0
iq,2013,24,0
iq,2013,25,0
iq,2013,26,0
