city,year,weekofyear,total_cases
sj,2010,31,54
sj,2010,32,51
sj,2010,33,52
sj,2010,34,55
sj,2010,35,56
sj,2010,36,53
sj,2010,37,48
sj,2010,38,47
sj,2010,39,54
sj,2010,40,57
sj,2010,41,61
sj,2010,42,59
sj,2010,43,64
sj,2010,44,66
sj,2010,45,69
sj,2010,46,63
sj,2010,47,61
sj,2010,48,56
sj,2010,49,54
sj,2010,50,49
sj,2010,51,46
sj,2011,52,39
sj,2011,1,35
sj,2011,2,31
sj,2011,3,26
sj,2011,4,21
sj,2011,5,18
sj,2011,6,16
sj,2011,7,13
sj,2011,8,12
sj,2011,9,12
sj,2011,10,12
sj,2011,11,12
sj,2011,12,11
sj,2011,13,11
sj,2011,14,12
sj,2011,15,12
sj,2011,16,12
sj,2011,17,11
sj,2011,18,11
sj,2011,19,12
sj,2011,20,13
sj,2011,21,16
sj,2011,22,17
sj,2011,23,19
sj,2011,24,21
sj,2011,25,23
sj,2011,26,24
sj,2011,27,25
sj,2011,28,23
sj,2011,29,24
sj,2011,30,24
sj,2011,31,28
sj,2011,32,31
sj,2011,33,35
sj,2011,34,37
sj,2011,35,41
sj,2011,36,42
sj,2011,37,47
sj,2011,38,46
sj,2011,39,45
sj,2011,40,46
sj,2011,41,47
sj,2011,42,47
sj,2011,43,49
sj,2011,44,53
sj,2011,45,52
sj,2011,46,53
sj,2011,47,54
sj,2011,48,54
sj,2011,49,54
sj,2011,50,50
sj,2011,51,41
sj,2012,52,39
sj,2012,1,36
sj,2012,2,30
sj,2012,3,26
sj,2012,4,21
sj,2012,5,19
sj,2012,6,18
sj,2012,7,16
sj,2012,8,15
sj,2012,9,14
sj,2012,10,13
sj,2012,11,13
sj,2012,12,12
sj,2012,13,12
sj,2012,14,12
sj,2012,15,11
sj,2012,16,12
sj,2012,17,12
sj,2012,18,13
sj,2012,19,15
sj,2012,20,16
sj,2012,21,17
sj,2012,22,20
sj,2012,23,22
sj,2012,24,24
sj,2012,25,28
sj,2012,26,28
sj,2012,27,30
sj,2012,28,32
sj,2012,29,33
sj,2012,30,39
sj,2012,31,47
sj,2012,32,57
sj,2012,33,69
sj,2012,34,76
sj,2012,35,77
sj,2012,36,81
sj,2012,37,79
sj,2012,38,76
sj,2012,39,67
sj,2012,40,59
sj,2012,41,58
sj,2012,42,58
sj,2012,43,58
sj,2012,44,62
sj,2012,45,66
sj,2012,46,72
sj,2012,47,74
sj,2012,48,71
sj,2012,49,71
sj,2012,50,68
sj,2012,51,64
sj,2013,1,59
sj,2013,2,52
sj,2013,3,47
sj,2013,4,42
sj,2013,5,39
sj,2013,6,37
sj,2013,7,31
sj,2013,8,25
sj,2013,9,21
sj,2013,10,19
sj,2013,11,16
sj,2013,12,15
sj,2013,13,13
sj,2013,14,13
sj,2013,15,13
sj,2013,16,13
sj,2013,17,13
iq,2010,26,11
iq,2010,27,11
iq,2010,28,11
iq,2010,29,11
iq,2010,30,11
iq,2010,31,11
iq,2010,32,11
iq,2010,33,11
iq,2010,34,11
iq,2010,35,11
iq,2010,36,11
iq,2010,37,11
iq,2010,38,11
iq,2010,39,11
iq,2010,40,11
iq,2010,41,11
iq,2010,42,11
iq,2010,43,11
iq,2010,44,11
iq,2010,45,11
iq,2010,46,11
iq,2010,47,11
iq,2010,48,11
iq,2010,49,11
iq,2010,50,11
iq,2010,51,11
iq,2011,52,10
iq,2011,1,9
iq,2011,2,9
iq,2011,3,9
iq,2011,4,9
iq,2011,5,9
iq,2011,6,9
iq,2011,7,9
iq,2011,8,9
iq,2011,9,8
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,8
iq,2011,14,8
iq,2011,15,8
iq,2011,16,7
iq,2011,17,7
iq,2011,18,7
iq,2011,19,6
iq,2011,20,6
iq,2011,21,6
iq,2011,22,6
iq,2011,23,5
iq,2011,24,5
iq,2011,25,5
iq,2011,26,4
iq,2011,27,4
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,3
iq,2011,32,3
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,5
iq,2011,38,5
iq,2011,39,6
iq,2011,40,6
iq,2011,41,7
iq,2011,42,7
iq,2011,43,7
iq,2011,44,8
iq,2011,45,9
iq,2011,46,9
iq,2011,47,9
iq,2011,48,10
iq,2011,49,10
iq,2011,50,10
iq,2011,51,10
iq,2012,52,10
iq,2012,1,9
iq,2012,2,9
iq,2012,3,9
iq,2012,4,8
iq,2012,5,8
iq,2012,6,7
iq,2012,7,7
iq,2012,8,7
iq,2012,9,7
iq,2012,10,7
iq,2012,11,7
iq,2012,12,7
iq,2012,13,7
iq,2012,14,7
iq,2012,15,7
iq,2012,16,7
iq,2012,17,7
iq,2012,18,6
iq,2012,19,6
iq,2012,20,6
iq,2012,21,5
iq,2012,22,5
iq,2012,23,5
iq,2012,24,5
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,3
iq,2012,35,4
iq,2012,36,4
iq,2012,37,5
iq,2012,38,6
iq,2012,39,6
iq,2012,40,7
iq,2012,41,8
iq,2012,42,9
iq,2012,43,9
iq,2012,44,10
iq,2012,45,11
iq,2012,46,11
iq,2012,47,11
iq,2012,48,11
iq,2012,49,12
iq,2012,50,11
iq,2012,51,11
iq,2013,1,11
iq,2013,2,10
iq,2013,3,10
iq,2013,4,10
iq,2013,5,9
iq,2013,6,9
iq,2013,7,10
iq,2013,8,9
iq,2013,9,10
iq,2013,10,10
iq,2013,11,9
iq,2013,12,9
iq,2013,13,10
iq,2013,14,9
iq,2013,15,9
iq,2013,16,8
iq,2013,17,8
iq,2013,18,7
iq,2013,19,7
iq,2013,20,7
iq,2013,21,6
iq,2013,22,6
iq,2013,23,6
iq,2013,24,6
iq,2013,25,6
iq,2013,26,6
