city,year,weekofyear,total_cases
sj,2010,43,34
sj,2010,44,36
sj,2010,45,40
sj,2010,46,27
sj,2010,47,20
sj,2010,48,18
sj,2010,49,10
sj,2010,50,27
sj,2010,51,22
sj,2011,52,21
sj,2011,1,18
sj,2011,2,29
sj,2011,3,28
sj,2011,4,24
sj,2011,5,21
sj,2011,6,23
sj,2011,7,26
sj,2011,8,24
sj,2011,9,14
sj,2011,10,18
sj,2011,11,13
sj,2011,12,16
sj,2011,13,22
sj,2011,14,33
sj,2011,15,23
sj,2011,16,25
sj,2011,17,25
sj,2011,18,33
sj,2011,19,23
sj,2011,20,32
sj,2011,21,33
sj,2011,22,43
sj,2011,23,36
sj,2011,24,50
sj,2011,25,51
sj,2011,26,51
sj,2011,27,48
sj,2011,28,49
sj,2011,29,44
sj,2011,30,56
sj,2011,31,46
sj,2011,32,47
sj,2011,33,49
sj,2011,34,49
sj,2011,35,47
sj,2011,36,50
sj,2011,37,56
sj,2011,38,36
sj,2011,39,49
sj,2011,40,50
sj,2011,41,43
sj,2011,42,40
sj,2011,43,33
sj,2011,44,39
sj,2011,45,39
sj,2011,46,38
sj,2011,47,34
sj,2011,48,31
sj,2011,49,25
sj,2011,50,32
sj,2011,51,19
sj,2012,52,22
sj,2012,1,27
sj,2012,2,25
sj,2012,3,22
sj,2012,4,18
sj,2012,5,19
sj,2012,6,21
sj,2012,7,25
sj,2012,8,20
sj,2012,9,23
sj,2012,10,23
sj,2012,11,22
sj,2012,12,21
sj,2012,13,27
sj,2012,14,29
sj,2012,15,33
sj,2012,16,30
sj,2012,17,22
sj,2012,18,42
sj,2012,19,32
sj,2012,20,44
sj,2012,21,42
sj,2012,22,33
sj,2012,23,47
sj,2012,24,42
sj,2012,25,55
sj,2012,26,58
sj,2012,27,51
sj,2012,28,46
sj,2012,29,51
sj,2012,30,52
sj,2012,31,48
sj,2012,32,52
sj,2012,33,53
sj,2012,34,55
sj,2012,35,43
sj,2012,36,48
sj,2012,37,45
sj,2012,38,50
sj,2012,39,53
sj,2012,40,49
sj,2012,41,43
sj,2012,42,53
sj,2012,43,48
sj,2012,44,54
sj,2012,45,49
sj,2012,46,42
sj,2012,47,44
sj,2012,48,36
sj,2012,49,32
sj,2012,50,28
sj,2012,51,24
sj,2013,1,28
sj,2013,2,24
sj,2013,3,18
sj,2013,4,19
sj,2013,5,26
sj,2013,6,20
sj,2013,7,19
sj,2013,8,20
sj,2013,9,22
sj,2013,10,22
sj,2013,11,17
sj,2013,12,15
sj,2013,13,33
sj,2013,14,33
sj,2013,15,37
sj,2013,16,34
sj,2013,17,28
iq,2010,26,8
iq,2010,27,5
iq,2010,28,7
iq,2010,29,2
iq,2010,30,3
iq,2010,31,6
iq,2010,32,3
iq,2010,33,6
iq,2010,34,3
iq,2010,35,8
iq,2010,36,7
iq,2010,37,6
iq,2010,38,8
iq,2010,39,6
iq,2010,40,7
iq,2010,41,7
iq,2010,42,8
iq,2010,43,11
iq,2010,44,14
iq,2010,45,8
iq,2010,46,8
iq,2010,47,9
iq,2010,48,11
iq,2010,49,11
iq,2010,50,11
iq,2010,51,7
iq,2011,52,8
iq,2011,1,7
iq,2011,2,9
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,8
iq,2011,8,8
iq,2011,9,9
iq,2011,10,7
iq,2011,11,8
iq,2011,12,10
iq,2011,13,8
iq,2011,14,9
iq,2011,15,7
iq,2011,16,8
iq,2011,17,9
iq,2011,18,9
iq,2011,19,4
iq,2011,20,6
iq,2011,21,7
iq,2011,22,6
iq,2011,23,4
iq,2011,24,5
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,3
iq,2011,34,4
iq,2011,35,3
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,6
iq,2011,40,6
iq,2011,41,8
iq,2011,42,12
iq,2011,43,7
iq,2011,44,8
iq,2011,45,9
iq,2011,46,9
iq,2011,47,9
iq,2011,48,10
iq,2011,49,10
iq,2011,50,7
iq,2011,51,8
iq,2012,52,10
iq,2012,1,8
iq,2012,2,8
iq,2012,3,7
iq,2012,4,6
iq,2012,5,7
iq,2012,6,9
iq,2012,7,7
iq,2012,8,7
iq,2012,9,5
iq,2012,10,7
iq,2012,11,6
iq,2012,12,6
iq,2012,13,8
iq,2012,14,7
iq,2012,15,10
iq,2012,16,9
iq,2012,17,7
iq,2012,18,8
iq,2012,19,4
iq,2012,20,6
iq,2012,21,5
iq,2012,22,5
iq,2012,23,5
iq,2012,24,3
iq,2012,25,5
iq,2012,26,5
iq,2012,27,4
iq,2012,28,3
iq,2012,29,4
iq,2012,30,1
iq,2012,31,4
iq,2012,32,2
iq,2012,33,2
iq,2012,34,4
iq,2012,35,5
iq,2012,36,5
iq,2012,37,6
iq,2012,38,5
iq,2012,39,6
iq,2012,40,4
iq,2012,41,10
iq,2012,42,8
iq,2012,43,10
iq,2012,44,9
iq,2012,45,9
iq,2012,46,12
iq,2012,47,9
iq,2012,48,12
iq,2012,49,11
iq,2012,50,10
iq,2012,51,11
iq,2013,1,11
iq,2013,2,5
iq,2013,3,6
iq,2013,4,9
iq,2013,5,7
iq,2013,6,10
iq,2013,7,9
iq,2013,8,9
iq,2013,9,8
iq,2013,10,10
iq,2013,11,11
iq,2013,12,13
iq,2013,13,10
iq,2013,14,10
iq,2013,15,8
iq,2013,16,10
iq,2013,17,8
iq,2013,18,3
iq,2013,19,10
iq,2013,20,9
iq,2013,21,6
iq,2013,22,6
iq,2013,23,6
iq,2013,24,5
iq,2013,25,4
iq,2013,26,4
